Prijsindex ((2015=100)),Verandering t.o.v. jaar eerder (%),Periode
127,9.5,2018 november
127,8.4,2018 december
129,8.7,2019 januari
129,7.5,2019 februari
129,7.7,2019 maart
130,7.7,2019 april
130,7.2,2019 mei
131,6.9,2019 juni
132,7.0,2019 juli
132,5.7,2019 augustus
133,6.1,2019 september
134,6.3,2019 oktober
135,5.8,2019 november
135,6.5,2019 december
137,6.3,2020 januari
137,6.6,2020 februari
138,7.0,2020 maart
139,7.3,2020 april
140,7.7,2020 mei
141,7.6,2020 juni
142,7.4,2020 juli
143,8.2,2020 augustus
145,8.6,2020 september
146,9.1,2020 oktober
147,8.9,2020 november
146,8.3,2020 december
150,9.3,2021 januari
151,10.4,2021 februari
154,11.3,2021 maart
155,11.5,2021 april
158,12.9,2021 mei
161,14.6,2021 juni
165,16.3,2021 juli
169,17.8,2021 augustus
172,18.5,2021 september
173,18.3,2021 oktober
176,20.1,2021 november
176,20.4,2021 december
181,21.1,2022 januari
182,20.2,2022 februari
184,19.5,2022 maart
186,19.7,2022 april
188,18.8,2022 mei
188,16.6,2022 juni
189,14.5,2022 juli
189,11.9,2022 augustus
188,9.4,2022 september
187,7.8,2022 oktober
185,4.9,2022 november
181,2.7,2022 december
183,1.1,2023 januari
181,-0.8,2023 februari
180,-2.3,2023 maart
178,-4.4,2023 april
178,-5.6,2023 mei
178,-5.5,2023 juni
179,-5.5,2023 juli
180,-4.8,2023 augustus
181,-3.5,2023 september
182,-2.3,2023 oktober
183,-0.9,2023 november
